corpus,source_id,source_anchor,title,source_kind,source_relation,source_unit_role,verification,disposition,root_declaration,registry_path
YWS2015,YWS-S1-procrustes,"Section 1, Procrustes alignment",Procrustes alignment: ‖V-hat O - V‖_F <= sqrt 2 ‖sin Theta‖_F,lemma,published_source,result,proved_in_build,compiled_generalized,YuWangSamworth2015.span_range_frameComp,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-procrustes,"Section 1, Procrustes alignment",Procrustes alignment: ‖V-hat O - V‖_F <= sqrt 2 ‖sin Theta‖_F,lemma,published_source,result,proved_in_build,compiled_generalized,YuWangSamworth2015.adjoint_comp_self_eq_id,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-procrustes,"Section 1, Procrustes alignment",Procrustes alignment: ‖V-hat O - V‖_F <= sqrt 2 ‖sin Theta‖_F,lemma,published_source,result,proved_in_build,compiled_generalized,YuWangSamworth2015.exists_unitary_sum_sq_norm_frameComp_sub_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-procrustes,"Section 1, Procrustes alignment",Procrustes alignment: ‖V-hat O - V‖_F <= sqrt 2 ‖sin Theta‖_F,lemma,published_source,result,proved_in_build,compiled_generalized,YuWangSamworth2015.frameAlignMatrix,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-procrustes,"Section 1, Procrustes alignment",Procrustes alignment: ‖V-hat O - V‖_F <= sqrt 2 ‖sin Theta‖_F,lemma,published_source,result,proved_in_build,compiled_generalized,YuWangSamworth2015.frameAlignMatrix_mem_orthogonalGroup,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-procrustes,"Section 1, Procrustes alignment",Procrustes alignment: ‖V-hat O - V‖_F <= sqrt 2 ‖sin Theta‖_F,lemma,published_source,result,proved_in_build,compiled_generalized,YuWangSamworth2015.frameComp_eq_sum_frameAlignMatrix,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T1-baseline,Theorem 1,Theorem 1 -- the statistical Davis--Kahan baseline (mixed gap),theorem,published_source,result,proved_in_build,compiled_generalized,YuWangSamworth2015.DavisKahanTheory.yuWangSamworth_theorem1_uiNorm_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T1-baseline,Theorem 1,Theorem 1 -- the statistical Davis--Kahan baseline (mixed gap),theorem,published_source,result,proved_in_build,compiled_generalized,YuWangSamworth2015.DavisKahanTheory.yuWangSamworth_theorem1_frobenius_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T1-baseline,Theorem 1,Theorem 1 -- the statistical Davis--Kahan baseline (mixed gap),theorem,published_source,result,proved_in_build,compiled_generalized,YuWangSamworth2015.DavisKahanTheory.yuWangSamworth_theorem1_opNorm_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T1-eq1,"Section 1, equation (1)",Equation (1) -- the eigenvector specialization of the baseline,equation,published_source,supporting_source_surface,proved_in_build,compiled_specialization,YuWangSamworth2015.yuWangSamworth_intervalBlock_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-toy-example,"Section 1, numerical illustration that delta can vanish",Section 1 -- the five-by-five illustration that Theorem 1's separation can vanish,example,published_source,supporting_source_surface,proved_in_build,compiled_exact,YuWangSamworth2015.DavisKahanTheory.mixedSeparationSet,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-toy-example,"Section 1, numerical illustration that delta can vanish",Section 1 -- the five-by-five illustration that Theorem 1's separation can vanish,example,published_source,supporting_source_surface,proved_in_build,compiled_exact,YuWangSamworth2015.DavisKahanTheory.mixedSeparation,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-toy-example,"Section 1, numerical illustration that delta can vanish",Section 1 -- the five-by-five illustration that Theorem 1's separation can vanish,example,published_source,supporting_source_surface,proved_in_build,compiled_exact,YuWangSamworth2015.DavisKahanTheory.mixedSeparation_eq_zero_of_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-toy-example,"Section 1, numerical illustration that delta can vanish",Section 1 -- the five-by-five illustration that Theorem 1's separation can vanish,example,published_source,supporting_source_surface,proved_in_build,compiled_exact,YuWangSamworth2015.DavisKahanTheory.section1PopulationData,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-toy-example,"Section 1, numerical illustration that delta can vanish",Section 1 -- the five-by-five illustration that Theorem 1's separation can vanish,example,published_source,supporting_source_surface,proved_in_build,compiled_exact,YuWangSamworth2015.DavisKahanTheory.section1SampleData,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-toy-example,"Section 1, numerical illustration that delta can vanish",Section 1 -- the five-by-five illustration that Theorem 1's separation can vanish,example,published_source,supporting_source_surface,proved_in_build,compiled_exact,YuWangSamworth2015.DavisKahanTheory.section1_mixedSeparation_eq_zero,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-toy-example,"Section 1, numerical illustration that delta can vanish",Section 1 -- the five-by-five illustration that Theorem 1's separation can vanish,example,published_source,supporting_source_surface,proved_in_build,compiled_exact,YuWangSamworth2015.DavisKahanTheory.section1_populationGap,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-toy-example,"Section 1, numerical illustration that delta can vanish",Section 1 -- the five-by-five illustration that Theorem 1's separation can vanish,example,published_source,supporting_source_surface,proved_in_build,compiled_exact,YuWangSamworth2015.DavisKahanTheory.internalGap_section1,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-toy-example,"Section 1, numerical illustration that delta can vanish",Section 1 -- the five-by-five illustration that Theorem 1's separation can vanish,example,published_source,supporting_source_surface,proved_in_build,compiled_exact,YuWangSamworth2015.DavisKahanTheory.opNorm_section1_perturbation,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,TauCeti.IsEigenFamily,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,TauCeti.IsOrderedEigenframe,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,TauCeti.IsOrderedEigenframe.span_eq_spanIndices,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,TauCeti.IsOrderedEigenframe.internalGap_span,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,TauCeti.sq_gap_mul_sum_sq_norm_starProjection_orthogonal_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.sum_sq_norm_frameResidual_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.sum_sq_norm_frameResidual_le_of_opNorm,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.yuWangSamworth_sinTheta_frame_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.yuWangSamworth_sinTheta_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.sqrt_sum_cross_le_of_population_gap,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.consecutiveEmb,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.mem_range_consecutiveEmb,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.OrderedBlockBoundaryGap,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.orderedBlockBoundaryGap_iff,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.OrderedBlockBoundaryGap.indexGap,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.yuWangSamworth_sinTheta_block_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.IsEigenvectorBlock,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.PopulationBoundaryGap,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.frobeniusNorm,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.theorem2_sinTheta,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.isEigenvectorBlock_iff,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.populationBoundaryGap_iff,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.SourcePopulationGap,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.sourcePopulationGap_iff,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.SourcePopulationGap.toPopulationBoundaryGap,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-sinTheta,Theorem 2,"Theorem 2, first conclusion -- the population-gap sine bound",theorem,published_source,result,proved_in_build,compiled_exact,TauCeti.singularValues_sinThetaMap,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.yuWangSamworth_alignedBasis_frame_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.yuWangSamworth_alignedBasis_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.exists_aligned_orthonormalBasis,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.yuWangSamworth_alignedFrame_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.yuWangSamworth_alignedFrame_block_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.frameComp,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.exists_unitary_sum_sq_norm_frameComp_sub_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.yuWangSamworth_alignedFrame_real_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.yuWangSamworth_alignedFrame_block_real_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.frameAlignMatrix_mem_orthogonalGroup,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.IsEigenvectorBlock,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.PopulationBoundaryGap,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.frobeniusNorm,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.theorem2_alignedFrame,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.isEigenvectorBlock_iff,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.populationBoundaryGap_iff,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.SourcePopulationGap,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.sourcePopulationGap_iff,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-alignedBasis,"Theorem 2, aligned-basis conclusion","Theorem 2, second conclusion -- existence of an aligned orthogonal frame",theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.SourcePopulationGap.toPopulationBoundaryGap,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-residual,"Theorem 2, residual form",Theorem 2's sharper residual forms,theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.yuWangSamworth_sinTheta_le_residual,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-residual,"Theorem 2, residual form",Theorem 2's sharper residual forms,theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.yuWangSamworth_alignedBasis_le_residual,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-residual,"Theorem 2, residual form",Theorem 2's sharper residual forms,theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.residualColumn,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-residual,"Theorem 2, residual form",Theorem 2's sharper residual forms,theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.residualColumn_eq,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-residual,"Theorem 2, residual form",Theorem 2's sharper residual forms,theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.frameResidual_eq,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-residual,"Theorem 2, residual form",Theorem 2's sharper residual forms,theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.sq_gap_mul_sum_cross_le_sum_sq_norm_residualColumn,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-residual,"Theorem 2, residual form",Theorem 2's sharper residual forms,theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.sq_gap_mul_sum_cross_le_of_population_gap,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-residual,"Theorem 2, residual form",Theorem 2's sharper residual forms,theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.yuWangSamworth_alignedFrame_le_residual,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-residual,"Theorem 2, residual form",Theorem 2's sharper residual forms,theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.yuWangSamworth_sinTheta_block_le_residual,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-residual,"Theorem 2, residual form",Theorem 2's sharper residual forms,theorem,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.yuWangSamworth_alignedFrame_block_le_residual,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-opnorm-numerator,"Section 2, operator-norm numerator",The residual is bounded by 2 sqrt d ‖E‖_op,lemma,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.sum_sq_norm_residualColumn_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-opnorm-numerator,"Section 2, operator-norm numerator",The residual is bounded by 2 sqrt d ‖E‖_op,lemma,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.sum_sq_norm_residualColumn_le_of_opNorm,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-opnorm-numerator,"Section 2, operator-norm numerator",The residual is bounded by 2 sqrt d ‖E‖_op,lemma,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.sq_gap_mul_sum_cross_le_of_population_gap_opNorm,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-opnorm-numerator,"Section 2, operator-norm numerator",The residual is bounded by 2 sqrt d ‖E‖_op,lemma,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.sum_sq_norm_frameResidual_le_of_opNorm,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-T2-opnorm-numerator,"Section 2, operator-norm numerator",The residual is bounded by 2 sqrt d ‖E‖_op,lemma,published_source,result,proved_in_build,compiled_exact,YuWangSamworth2015.sum_sq_norm_apply_orthonormal_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S2-sharpness-orthogonal,"Section 2, sharpness example with orthogonal target subspaces","Sharpness example: orthogonal blocks, in both the preprint and published forms",example,published_source,supporting_source_surface,proved_in_build,compiled_generalized,YuWangSamworth2015.DavisKahanTheory.yuWangSamworth_sharpness_orthogonalBlocks,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S2-sharpness-orthogonal,"Section 2, sharpness example with orthogonal target subspaces","Sharpness example: orthogonal blocks, in both the preprint and published forms",example,published_source,supporting_source_surface,proved_in_build,compiled_generalized,YuWangSamworth2015.DavisKahanTheory.dist_orthogonalSharpness_aligned,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S2-sharpness-orthogonal,"Section 2, sharpness example with orthogonal target subspaces","Sharpness example: orthogonal blocks, in both the preprint and published forms",example,published_source,supporting_source_surface,proved_in_build,compiled_generalized,YuWangSamworth2015.DavisKahanTheory.sinThetaFrobenius_orthogonalSharpness,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S2-sharpness-orthogonal,"Section 2, sharpness example with orthogonal target subspaces","Sharpness example: orthogonal blocks, in both the preprint and published forms",example,published_source,supporting_source_surface,proved_in_build,compiled_generalized,YuWangSamworth2015.DavisKahanTheory.orthogonal_orthogonalSharpness,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S2-sharpness-orthogonal,"Section 2, sharpness example with orthogonal target subspaces","Sharpness example: orthogonal blocks, in both the preprint and published forms",example,published_source,supporting_source_surface,proved_in_build,compiled_generalized,YuWangSamworth2015.DavisKahanTheory.correspondingEigenblock_orthogonalSharpness,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S2-sharpness-orthogonal,"Section 2, sharpness example with orthogonal target subspaces","Sharpness example: orthogonal blocks, in both the preprint and published forms",example,published_source,supporting_source_surface,proved_in_build,compiled_generalized,YuWangSamworth2015.DavisKahanTheory.internalGap_orthogonalSharpness,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S2-sharpness-orthogonal,"Section 2, sharpness example with orthogonal target subspaces","Sharpness example: orthogonal blocks, in both the preprint and published forms",example,published_source,supporting_source_surface,proved_in_build,compiled_generalized,YuWangSamworth2015.DavisKahanTheory.opNorm_orthogonalSharpness_perturbation,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S2-sharpness-orthogonal,"Section 2, sharpness example with orthogonal target subspaces","Sharpness example: orthogonal blocks, in both the preprint and published forms",example,published_source,supporting_source_surface,proved_in_build,compiled_generalized,YuWangSamworth2015.DavisKahanTheory.yuWangSamworth_sharpness_middleBlock,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S2-sharpness-orthogonal,"Section 2, sharpness example with orthogonal target subspaces","Sharpness example: orthogonal blocks, in both the preprint and published forms",example,published_source,supporting_source_surface,proved_in_build,compiled_generalized,YuWangSamworth2015.DavisKahanTheory.correspondingEigenblock_middleSharpness,dev/yu-wang-samworth-2015-full-source-census.json
