candidate_id,screened_on,date,author,title,source_type,source_url,citation_key,discovery_route,decision,decision_reason,duplicate_of
chow_aristotle,2026-09-08,2026-01,Timothy Chow,Aristotle waitlist discussion,zulip,https://leanprover-community.github.io/archive/stream/219941-Machine-Learning-for-Theorem-Proving/topic/Aristotle%27s.20waitlist.20is.20gone.html,chow2026aristotle,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
issai_aristotle,2026-09-08,2026-01-29,J. J. Issai,Understanding what Aristotle is formalizing,zulip,https://leanprover-community.github.io/archive/stream/219941-Machine-Learning-for-Theorem-Proving/topic/Understanding.20what.20Aristotle.20is.20formalizing.html,issai2026understanding,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
davis_partial,2026-09-08,2026-02-23,Kelly Davis and Vasily Ilin,Aristotle Partial Results discussion,zulip,https://leanprover-community.github.io/archive/stream/219941-Machine-Learning-for-Theorem-Proving/topic/Aristotle.20Partial.20Results.html,davis2026partial,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
chafai_ginibre,2026-09-08,2026-09-04,Djalil Chafaï,Lean formalization with AI,blog,https://djalil.chafai.net/blog/2026/09/04/lean-formalization-with-ai/,chafai2026leanai,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
alexeev_erdos,2026-09-08,2025-12-05,Boris Alexeev,Formalization of Erdos problems,blog,https://xenaproject.wordpress.com/2025/12/05/formalization-of-erdos-problems/,alexeev2025erdos,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
deng_shum_probability,2026-09-08,2026-07-29,Shuo Deng and Kenneth W. Shum,From Lecture Notes to Lean: Formalizing a Textbook on Probability Theory,paper,https://arxiv.org/abs/2607.27298,deng2026probability,web_search_2026-09-08,include_account,Public first-person account with source-grounded observations relevant to AI-assisted Lean practice; added in the 8 September search.,
dedios_banach_phase,2026-09-08,2026-08-07,"Jaume de Dios Pont, Lukas Liehr, David Muñoz-Lahoz, Mitchell A. Taylor, and Pedro Tradacete",Banach lattices and phase retrieval: A case study for the use of AI in mathematics,paper,https://arxiv.org/abs/2608.07396,dedios2026banach,web_search_2026-09-08,include_account,Public first-person account with source-grounded observations relevant to AI-assisted Lean practice; added in the 8 September search.,
chen_huang_ripple,2026-09-08,2026-07-21,Ho-Lin Chen and Xiang Huang,"Ripple: An Open, AI-Formalized Lean 4 Framework for Computing with CRNs",paper,https://arxiv.org/abs/2607.13531,chen2026ripple,web_search_2026-09-08,include_account,Public first-person account with source-grounded observations relevant to AI-assisted Lean practice; added in the 8 September search.,
swaminathan_quartic,2026-09-08,2026-03-25,Ashvin Swaminathan,On the Quartic Invariant of Odd Degree Binary Forms,paper,https://arxiv.org/abs/2603.24330,swaminathan2026quartic,web_search_2026-09-08,include_account,Public first-person account with source-grounded observations relevant to AI-assisted Lean practice; added in the 8 September search.,
lau_grasshopper,2026-09-08,2026-05-19,Gabriel Rongyang Lau,Using Aristotle API for AI-Assisted Theorem Proving in Lean 4: A Formalisation Case Study of the Grasshopper Problem,paper,https://arxiv.org/abs/2605.20120,lau2026grasshopper,web_search_2026-09-08,include_account,Public first-person account with source-grounded observations relevant to AI-assisted Lean practice; added in the 8 September search.,
freer_definetti,2026-09-08,2026-07-16,Cameron Freer,Three Roads to de Finetti's Theorem in Lean 4,paper,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ITP.2026.34,freer2026definetti,web_search_2026-09-08,include_account,Public first-person account with source-grounded observations relevant to AI-assisted Lean practice; added in the 8 September search.,
zhang_slt,2026-09-08,2026-06-10,"Yuanhe Zhang, Jason D. Lee, and Fanghui Liu",AI4SLT: Empirical Processes in Lean 4 for Formal Statistical Learning Theory,paper,https://arxiv.org/abs/2602.02285,zhang2026slt,web_search_2026-09-08,include_account,Public first-person account with source-grounded observations relevant to AI-assisted Lean practice; added in the 8 September search.,
cook_partial_fractions,2026-09-08,2026-06-17,John D. Cook,Formalizing a ring theorem with Lean 4 and Claude,blog,https://www.johndcook.com/blog/2026/06/17/rings-with-lean-claude/,cook2026rings,web_search_2026-09-08,include_account,Public first-person account with source-grounded observations relevant to AI-assisted Lean practice; added in the 8 September search.,
douglas_qft,2026-09-08,2026-03-16,"Michael R. Douglas, Sarah Hoback, Anna Mei, and Ron Nissim",Formalization of QFT,paper,https://arxiv.org/abs/2603.15770,douglas2026qft,web_search_2026-09-08,include_account,Public first-person account with source-grounded observations relevant to AI-assisted Lean practice; added in the 8 September search.,
treleaven_pile_shuffle,2026-09-08,2026,Kyle Treleaven,Post on AI-assisted Lean formalization of a pile-shuffle reduction,social_post,https://www.linkedin.com/in/kyle-treleaven-58586a22,treleaven2026lean,web_search_2026-09-08,include_account,"Public first-person account with source-grounded observations on novice use, proof readability, and human supervision.",
collins_workflows,2026-09-08,2026-06-02,Katherine M. Collins et al.,Characterizing initial human-AI proof formalization workflows,human_study,https://arxiv.org/abs/2606.04273,collins2026workflows,preexisting_snapshot,structured_study,Structured human--AI workflow study retained alongside the first-person accounts but excluded from the practitioner-account count.,
ilin_nugent_sorries,2026-09-08,2026-06-11,Vasily Ilin and Brian Nugent,Sorries Are Not the Hard Part: An Expert-Review Case Study of a Semi-Autonomous Formalization,paper,https://arxiv.org/abs/2606.13925,ilin2026sorries,web_search_2026-09-08,structured_study,Purpose-designed before/after expert-review case study. It is cited as related evidence rather than counted as an ordinary practitioner account.,
paglieri_swarm,2026-09-08,2026-09-03,"Davide Paglieri, Logan Cross, Tim Genewein, Joel Z. Leibo, Nenad Tomasev, and Alexander Sasha Vezhnevets",A Case Study on Emergent Cheating and Whistleblowing in Autonomous Research Swarms,paper,https://arxiv.org/abs/2609.04170,paglieri2026swarm,user_suggested_2026-09-08,related_work,"Controlled multi-agent experiment about verifier and specification gaming, not a first-person practitioner account.",
garg_econcs,2026-09-08,2026,Nikhil Garg,EconCSLib: AI-Assisted Lean Formalization for Economics & Computation Research,paper,https://arxiv.org/abs/2606.13306,garg2026econcs,preexisting_related_work,related_work,Methodology and system paper already cited as adjacent work; kept outside the first-person account count.,
munozlahoz_banach_library,2026-09-08,2026-08-07,David Muñoz-Lahoz,The Banach lattice Lean library,paper,https://arxiv.org/abs/2608.07388,,citation_chain_2026-09-08,duplicate,Companion paper from the same Banach-lattice formalization effort; the overlapping workflow evidence is coded once through de Dios Pont et al.,dedios_banach_phase
