source_id,account_id,source_role,date,author,title,source_type,source_url,citation_key,first_person,public_artifact,build_provenance_available,supports_account_observation,evidence_scope,source_note
issai_aristotle,issai_aristotle,primary,2026-01-29,J. J. Issai,Understanding what Aristotle is formalizing,zulip,https://leanprover-community.github.io/archive/stream/219941-Machine-Learning-for-Theorem-Proving/topic/Understanding.20what.20Aristotle.20is.20formalizing.html,issai2026understanding,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
davis_partial,davis_partial,primary,2026-02-23,Kelly Davis and Vasily Ilin,Aristotle Partial Results discussion,zulip,https://leanprover-community.github.io/archive/stream/219941-Machine-Learning-for-Theorem-Proving/topic/Aristotle.20Partial.20Results.html,davis2026partial,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
chafai_ginibre,chafai_ginibre,primary,2026-09-04,Djalil Chafaï,Lean formalization with AI,blog,https://djalil.chafai.net/blog/2026/09/04/lean-formalization-with-ai/,chafai2026leanai,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
alexeev_erdos,alexeev_erdos,primary,2025-12-05,Boris Alexeev,Formalization of Erdos problems,blog,https://xenaproject.wordpress.com/2025/12/05/formalization-of-erdos-problems/,alexeev2025erdos,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
deng_shum_probability,deng_shum_probability,primary,2026-07-29,Shuo Deng and Kenneth W. Shum,From Lecture Notes to Lean: Formalizing a Textbook on Probability Theory,paper,https://arxiv.org/abs/2607.27298,deng2026probability,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
dedios_banach_phase,dedios_banach_phase,primary,2026-08-07,"Jaume de Dios Pont, Lukas Liehr, David Muñoz-Lahoz, Mitchell A. Taylor, and Pedro Tradacete",Banach lattices and phase retrieval: A case study for the use of AI in mathematics,paper,https://arxiv.org/abs/2608.07396,dedios2026banach,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
chen_huang_ripple,chen_huang_ripple,primary,2026-07-21,Ho-Lin Chen and Xiang Huang,"Ripple: An Open, AI-Formalized Lean 4 Framework for Computing with CRNs",paper,https://arxiv.org/abs/2607.13531,chen2026ripple,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
swaminathan_quartic,swaminathan_quartic,primary,2026-03-25,Ashvin Swaminathan,On the Quartic Invariant of Odd Degree Binary Forms,paper,https://arxiv.org/abs/2603.24330,swaminathan2026quartic,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
lau_grasshopper,lau_grasshopper,primary,2026-05-19,Gabriel Rongyang Lau,Using Aristotle API for AI-Assisted Theorem Proving in Lean 4: A Formalisation Case Study of the Grasshopper Problem,paper,https://arxiv.org/abs/2605.20120,lau2026grasshopper,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
freer_definetti,freer_definetti,primary,2026-07-16,Cameron Freer,Three Roads to de Finetti's Theorem in Lean 4,paper,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ITP.2026.34,freer2026definetti,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
zhang_slt,zhang_slt,primary,2026-06-10,"Yuanhe Zhang, Jason D. Lee, and Fanghui Liu",AI4SLT: Empirical Processes in Lean 4 for Formal Statistical Learning Theory,paper,https://arxiv.org/abs/2602.02285,zhang2026slt,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
cook_partial_fractions,cook_partial_fractions,primary,2026-06-17,John D. Cook,Formalizing a ring theorem with Lean 4 and Claude,blog,https://www.johndcook.com/blog/2026/06/17/rings-with-lean-claude/,cook2026rings,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
douglas_qft,douglas_qft,primary,2026-03-16,"Michael R. Douglas, Sarah Hoback, Anna Mei, and Ron Nissim",Formalization of QFT,paper,https://arxiv.org/abs/2603.15770,douglas2026qft,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
treleaven_pile_shuffle,treleaven_pile_shuffle,primary,2026,Kyle Treleaven,Post on AI-assisted Lean formalization of a pile-shuffle reduction,social_post,https://www.linkedin.com/in/kyle-treleaven-58586a22,treleaven2026lean,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
collins_workflows,collins_workflows,primary,2026-06-02,Katherine M. Collins et al.,Characterizing initial human-AI proof formalization workflows,human_study,https://arxiv.org/abs/2606.04273,collins2026workflows,no,unclear,unclear,yes,primary account coding,Primary source for the account row.
yadav_gpu_verification,yadav_gpu_verification,primary,2026-06-26,Rohan Yadav,Experience Report: Leveraging LLMs for Formal Verification,blog,https://rohany.github.io/blog/llm-verification-experience/,yadav2026verification,yes,yes,unclear,yes,definition and theorem-statement review; attempted hypothesis weakening,First-person experience report.
warren_tessera,warren_tessera,primary,2026-07-27,John P. Warren,Tessera: a machine-checked false-alarm guarantee for GPU fleets,blog,https://johnpwarren.dev/blog/tessera-lean/,warren2026tessera,yes,yes,yes,yes,five wrong formal statements; counterexamples; repository history,First-person post documents each failed statement and why validation missed it.
zaliva_bc_semantics,zaliva_bc_semantics,primary,2026-06-12,Leonid Zaliva,Extracting a Formal Semantics with AI Agents,blog,https://zaliva.org/blog/2026/06/semantics-extraction.html,zaliva2026semantics,yes,yes,yes,yes,different-agent review; semantic redesign; wrong progress property,First-person report with explicit final-review qualification.
vergo_chebyshev,vergo_chebyshev,primary,2025-11-15,Eric Vergo,Discussion: AI-written mathematical proofs,zulip,https://leanprover-community.github.io/archive/stream/219941-Machine-Learning-for-Theorem-Proving/topic/Discussion.3A.20AI-written.20mathematical.20proofs.html,vergo2025aiproofs,yes,yes,unclear,yes,compiling artifact; reviewer inability to judge intended correspondence,Public Lean community discussion linked to the ChebyshevCircles repository.
bernier_class_field,bernier_class_field,primary,2026-02-08,David Bernier,Formalizing a conjecture in explicit Class Field Theory,zulip,https://leanprover-community.github.io/archive/stream/116395-maths/topic/Formalizing.20a.20conjecture.20in.20explicit.20Class.20Field.20Theory.html,bernier2026classfield,yes,yes,yes,yes,sorry-free special cases; request for misformalization review,Public Lean community discussion links the preserved Aristotle files.
schmitt_extremal_descendants,schmitt_extremal_descendants,primary,2025-12-16,Johannes Schmitt,Extremal descendant integrals on moduli spaces of curves: An inequality discovered and proved in collaboration with AI,paper,https://arxiv.org/abs/2512.14575,schmitt2025extremal,yes,yes,yes,yes,AI-authorship transparency; Lean experience and review workflow,Paper records the AI-assisted formalization workflow and supporting prompts/logs.
schildep_polygon,schildep_polygon,primary,2026,schildep,Verified Polygon Intersection,repository_readme,https://github.com/schildep/verified-polygon-intersection,schildep2026polygon,yes,yes,yes,yes,87-line human-reviewed specification; unread AI implementation/proofs,Repository README explicitly states the intended human review boundary.
davis_gradient_descent,davis_gradient_descent,primary,2026-02-08,Damek Davis,gd-lean,repository_readme,https://github.com/damek/gd-lean,davis2026gdlean,yes,yes,yes,yes,exact blueprint transcript; raw output; cleanup diff; pinned toolchain,Repository retains the full generation flow and provenance artifacts.
paik_optimization,paik_optimization,primary,2026,Seunghoon Paik,Lean,essay,https://seunghoonpaik.com/docs/notes/lean/,paik2026lean,yes,yes,unclear,yes,novice workflow; generated-code understanding; Lean/Mathlib learning,Personal notes on LLM-assisted Lean work.
armstrong_kempe_degiorgi,armstrong_kempe_degiorgi,primary,2026-04-07,Scott Armstrong and Julia Kempe,Formalizing De Giorgi-Nash-Moser Theory in Lean,blog,https://www.scottnarmstrong.com/2026/04/formalizing-de-giorgi-nash-moser-theory-in-lean/,armstrong2026degiorgi,yes,yes,yes,yes,56K LLM-written lines; human blueprints and architecture,Distinct project from the later stochastic-homogenization account.
aslyan_priority_methods,aslyan_priority_methods,primary,2026-07-26,Ara Aslyan,Formalizing Friedberg-Muchnik Theorem with Lean 4 AI,social_post,https://www.linkedin.com/posts/ara-aslyan-b823554_github-aaslyanfriedberg-muchnik-lean-activity-7487165343233167360-Bn11,aslyan2026friedberg,yes,yes,yes,yes,human architecture and modeling decisions; independent-review request,Primary post for the project/workflow account.
kahle_bei_followup,kahle_bei,supplemental,2026-07-16,Thomas Kahle,Auto-formalization II: Now what?,blog,https://thomas-kahle.de/blog/2026/auto-formalization-2-now-what/,kahle2026nowwhat,yes,yes,unclear,yes,abstraction; proof bloat; statement-meaning boundary,Follow-up source for the existing BEI account; does not increment the project-account denominator.
nowak_tcs_eatcs,nowak_tcs,supplemental,2026-06,Matthias Függer and Thomas Nowak,"Adding “Verified” Badges to Our Paper, One Lemma at a Time",paper,https://bulletin.eatcs.org/index.php/beatcs/index,fuegger2026verifiedbadges,yes,yes,unclear,yes,two-agent generator/reviewer workflow; faithfulness checking; novice Lean use,Durable Bulletin of the EATCS account supplementing the earlier social post.
freer_lean_skill,freer_definetti,supplemental,2025-10-18,Cameron Freer,Lean Skill for Claude Code,zulip,https://leanprover-community.github.io/archive/stream/219941-Machine-Learning-for-Theorem-Proving/topic/Lean.20Skill.20for.20Claude.20Code.html,freer2025leanskill,yes,yes,yes,yes,"agent guardrails against premature success, axioms, and sorries",Supplemental workflow evidence from the same practitioner/project context.
aslyan_sacks_followup,aslyan_priority_methods,supplemental,2026-08-01,Ara Aslyan,Formalizing Friedberg-Muchnik theorem in Lean 4,social_post,https://www.linkedin.com/posts/ara-aslyan-b823554_github-aaslyanfriedberg-muchnik-lean-activity-7489112983865065473-8Kag,aslyan2026sacks,yes,yes,yes,yes,Sacks splitting extension; direct human decision role; zero-sorry status; review request,Follow-up on the same project foundation; does not increment the account denominator.
munozlahoz_banach_library,dedios_banach_phase,corroborating,2026-08-07,David Muñoz-Lahoz,The Banach lattice Lean library,paper,https://arxiv.org/abs/2608.07388,munozlahoz2026banachlibrary,yes,yes,unclear,partial,companion artifact and workflow context for the Banach-lattice project,Companion paper from the same project; retained as corroborating evidence rather than treated as a duplicate account.
