account_id,account_kind,practitioner_cluster,project_cluster,date,author,title,target,reported_lean_experience,reads_generated_lean,multiple_ai_tools,separate_ai_review,semantic_mismatch,source_defect_found,counterexample_used,persistent_project_state,posthoc_understanding,human_role,observation,account_note,primary_source_id
enomoto_quotient,practitioner_account,enomoto_quotient,enomoto_quotient,2026-08,Haruhisa Enomoto,I Quit Math Then Wrote a Paper with AI,author's AI-assisted representation-theory paper,some,not_reported,yes,yes,no,yes,yes,no,yes,multi-agent checking; post-hoc proof digestion; conceptual reinterpretation,"After repeated cross-model informal checking had found no problem, Lean formalization encountered a false proof-essential manuscript claim, built a counterexample, replaced the proof, and continued. The author later undertook a separate proof-digestion phase.",Enomoto reports prior personal Lean experience; the false claim was in the informal proof rather than a Lean/source correspondence mismatch.,enomoto_quotient
oum_preprint,practitioner_account,oum_preprint,oum_preprint,2026-04-05,Sang-il Oum,Formalizing a recent preprint in Lean with Aristotle,author's submodular-functions preprint,not_reported,not_reported,no,no,no,yes,no,no,no,source correction; supervision,"The formalization exposed a missing non-negativity condition in Lemma 4.1, and the author uploaded a corrected arXiv version.",This is coded as source_defect_found rather than semantic_mismatch because the Lean process exposed a defect in the informal source statement.,oum_preprint
hirai_fri,practitioner_account,hirai_fri,hirai_fri,2026-01-26,Yoichi Hirai,Lean4 formalization of A Simplified Round-by-round Soundness Proof of FRI,FRI cryptography paper,not_reported,substantial,yes,yes,yes,no,yes,yes,no,source comparison; decomposition; agent orchestration; code cleanup,"Hirai compared Lean with the paper, records an added degree-positivity condition, used Claude to state/decompose missing lemmas and Aristotle to prove or counterexample them, then annotated code with paper locations.",The post explicitly says misformalization is the remaining room for error and that the author compared the Lean code against the original paper.,hirai_fri
robertj_ac,practitioner_account,robertj_ac,robertj_ac,2026,Robert J. and collaborators,Formalizing the Andrews-Curtis Conjecture,Andrews-Curtis definitions and computational certificates,not_reported,substantial,no,no,yes,no,no,yes,no,definition design; focused agent questions; source checking,The team used Aristotle while definitions were evolving and later during a broader audit. Aristotle found a mismatch between two move systems; humans repaired the interface and proved the translation theorem.,The author says every suggestion was checked against the source and mathematics.,robertj_ac
ennis_math,practitioner_account,ennis_math,ennis_math,2026-07-21,John Ennis,My Experiences Using AI for Math,research mathematics and a separate Lean formalization,not_reported,not_reported,yes,yes,yes,yes,no,yes,no,hostile review; source/status tracking; mathematical custody,"Ennis reports source/status/confidence tracking, hostile reviewers finding scope mismatches and stale summaries, and a Lean project exposing hidden assumptions in informal mathematics.",The essay spans several projects; codes refer only to observations explicitly tied to proof custody or Lean/formalization work.,ennis_math
gowers_leiden,practitioner_account,gowers_leiden,gowers_leiden,2026-07-26,Timothy Gowers,Thoughts about the Leiden Declaration,complicated research paper,not_reported,not_reported,no,no,no,no,no,no,no,high-level delegation,Gowers reports using Aristotle to formalize a complicated paper in Lean without needing to know Lean.,This short report supports the existence of low-Lean-literacy workflows but does not describe the review mechanism in enough detail to code more fields.,gowers_leiden
chow_aristotle,practitioner_account,chow_aristotle,chow_aristotle,2026-01,Timothy Chow,Aristotle waitlist discussion,submitted Lean theorem with one sorry,not_reported,substantial,no,no,no,no,no,no,no,output inspection; community feedback,Chow reports a run that returned a file with the target theorem and associated definitions deleted rather than proved.,"This is coded as a target-removal failure, not as semantic_mismatch, because the output evaded the task rather than changing a surviving formal statement.",chow_aristotle
issai_aristotle,practitioner_account,issai_aristotle,issai_aristotle,2026-01-29,J. J. Issai,Understanding what Aristotle is formalizing,prime-counting bounds,not_reported,selective,no,no,qualified,no,no,no,no,statement interpretation; community review,Issai reports that Aristotle's output seems not to track the intended statement and asks how to reconcile the formal object with the intended prime-counting function.,"The original query was unavailable, so the source itself warns that the problem may have been misstated before Aristotle saw it; semantic_mismatch is qualified.",issai_aristotle
davis_partial,practitioner_account,vasily_ilin,davis_partial,2026-02-23,Kelly Davis and Vasily Ilin,Aristotle Partial Results discussion,hard Lean problems,not_reported,not_reported,no,no,no,no,no,yes,no,failure analysis; provenance tracking,Davis asks for partial results when Aristotle gives up; Ilin asks for the original prompt to be preserved because repeated prompts become difficult to distinguish.,This source is included for persistence/provenance rather than semantic correspondence.,davis_partial
chafai_ginibre,practitioner_account,chafai_ginibre,chafai_ginibre,2026-09-04,Djalil Chafaï,Lean formalization with AI,Theorem 1.9 of author's recent paper,not_reported,not_reported,yes,no,no,no,no,no,no,target selection; high-level delegation,"After a few manual explorations to select a target theorem, Chafaï delegated a roughly six-hour agent run that produced about 16.4k lines across about 75 files and a checked theorem.","The post is a capability/scale snapshot and gives little information about semantic review, so most review codes remain no/not_reported.",chafai_ginibre
alexeev_erdos,practitioner_account,alexeev_erdos,alexeev_erdos,2025-12-05,Boris Alexeev,Formalization of Erdos problems,collection of Erdos problems,mixed,selective,yes,no,yes,yes,yes,yes,no,pipeline design; statement checking; intervention on failures,"Alexeev reports repeated misformalizations across a semi-automated pipeline, including wrong variables, flipped inequalities/quantifiers, missing hypotheses, and higher-level mismatches. Counterexamples often exposed them.",The post explicitly says misformalization was more frequent than expected and that the workflow changed rapidly as new tools appeared.,alexeev_erdos
deng_shum_probability,practitioner_account,deng_shum_probability,deng_shum_probability,2026-07-29,Shuo Deng and Kenneth W. Shum,From Lecture Notes to Lean: Formalizing a Textbook on Probability Theory,measure-theoretic probability textbook,not_reported,selective,yes,unclear,yes,yes,yes,yes,no,statement approval; source-error adjudication; source-to-Lean review,An initial variance declaration compiled while imposing weaker domain discipline than the textbook intended. The workflow separately reviews candidates against source passages; formalization also exposed a missing textbook hypothesis and produced a counterexample.,"The paper explicitly separates successful builds from source-fidelity review. It describes manual semantic checking but does not identify the read-only reviewer as a distinct AI role, so separate_ai_review is unclear.",deng_shum_probability
dedios_banach_phase,practitioner_account,dedios_banach_phase,banach_phase_retrieval,2026-08-07,"Jaume de Dios Pont, Lukas Liehr, David Muñoz-Lahoz, Mitchell A. Taylor, and Pedro Tradacete",Banach lattices and phase retrieval: A case study for the use of AI in mathematics,Banach-lattice and phase-retrieval research formalizations,mixed,selective,yes,unclear,qualified,no,no,unclear,yes,statement and definition review; mathematical interpretation; post-certificate proof digestion; library curation,"The group concentrated intensive review on theorem statements and their definitions rather than generated proof bodies, warns that LLMs can alter definitions in ways that simplify proofs, and describes revisiting an argument after obtaining a Lean certificate in order to understand and generalize it.","The definition-drift statement is a reported recurring risk rather than one isolated mismatch in a named theorem, so semantic_mismatch is qualified. The group includes both experienced formalizers and a contributor reported to have had no Lean experience three months earlier.",dedios_banach_phase
chen_huang_ripple,practitioner_account,chen_huang_ripple,chen_huang_ripple,2026-07-21,Ho-Lin Chen and Xiang Huang,"Ripple: An Open, AI-Formalized Lean 4 Framework for Computing with CRNs",chemical reaction network computation framework,not_reported,not_reported,yes,yes,no,yes,yes,yes,no,direction and review; construction design; counterexample-first checking; framework curation,"The project reports source gaps exposed during formalization and a playbook that checks residual goals for counterexamples before proof attempts, with cross-verification by a second independent model. Planning and assumption state are retained outside model context.",The paper reports genuine gaps in published arguments and several defenses against vacuous or false targets. We do not code those source gaps as a source-to-Lean semantic mismatch.,chen_huang_ripple
swaminathan_quartic,practitioner_account,swaminathan_quartic,swaminathan_quartic,2026-03-25,Ashvin Swaminathan,On the Quartic Invariant of Odd Degree Binary Forms,quartic invariant of odd-degree binary forms,not_reported,selective,yes,no,no,yes,no,yes,no,mathematical review and correction; target selection; proof-strategy judgment,"Claude Code and Codex completed parts of the proof and Aristotle discharged Lean obligations under author review. Formal verification uncovered a sign error in an earlier draft of Proposition 5.3, which the author corrected.",The reported defect was in an earlier manuscript draft rather than a mismatch between a source theorem and its Lean statement. The project retained the author's notes and modular Lean companion materials.,swaminathan_quartic
lau_grasshopper,practitioner_account,lau_grasshopper,lau_grasshopper,2026-05-19,Gabriel Rongyang Lau,Using Aristotle API for AI-Assisted Theorem Proving in Lean 4: A Formalisation Case Study of the Grasshopper Problem,IMO 2009 Grasshopper problem,not_reported,substantial,no,no,no,no,no,yes,no,artifact inspection; verification-status auditing; separation of local lemmas from headline completion,The generated artifact contained four verified helper lemmas while the main theorem remained closed directly by one unresolved sorry. The paper analyzes the verified and unverified parts of the artifact separately.,This is an incompleteness/admission-state example rather than a source-correspondence mismatch. Reproducible Lean artifacts are provided with the paper.,lau_grasshopper
freer_definetti,practitioner_account,freer_definetti,freer_definetti,2026-07-16,Cameron Freer,Three Roads to de Finetti's Theorem in Lean 4,de Finetti--Ryll-Nardzewski theorem,not_reported,not_reported,yes,no,no,no,no,yes,no,proof-route design; common interface selection; independent-route cross-checking,"Three independently formalized proof routes were required to reach the same finite conditional-factorization interface before the common conclusion, providing a cross-check during extensive Claude- and GPT-assisted development.","The cross-check is between independent mathematical proof routes, not a separately assigned AI review role. The paper also reports a reusable Lean proof-engineering skill developed during the project.",freer_definetti
zhang_slt,practitioner_account,zhang_slt,zhang_slt,2026-06-10,"Yuanhe Zhang, Jason D. Lee, and Fanghui Liu",AI4SLT: Empirical Processes in Lean 4 for Formal Statistical Learning Theory,statistical learning theory and empirical processes,not_reported,selective,no,no,yes,unclear,yes,yes,no,proof-strategy design; theorem decomposition; target-statement verification; supervised cleanup,The authors report three misformalized target statements that survived multiple rounds of AI self-judgment and were detected by humans constructing explicit counterexamples. The workflow preserved structured TASK.md specifications for proof tasks.,"The paper also reports resolving implicit assumptions and missing textbook details, but it does not identify all of these as defects in one fixed source, so source_defect_found remains unclear.",zhang_slt
cook_partial_fractions,practitioner_account,cook_partial_fractions,cook_partial_fractions,2026-06-17,John D. Cook,Formalizing a ring theorem with Lean 4 and Claude,partial fraction decomposition over a principal ideal domain,not_reported,selective,no,no,no,no,no,no,no,compiler-feedback relay; output inspection; admission-state checking,"After eleven iterations driven by compiler errors, Claude produced an artifact that the author initially described as a proof but that still contained five sorry placeholders; attempts to remove them had not succeeded by the end of the experiment.",This is a partial experiment rather than a completed formalization. It is included because the author explicitly inspects and reports the remaining admissions.,cook_partial_fractions
douglas_qft,practitioner_account,douglas_qft,douglas_qft,2026-03-16,"Michael R. Douglas, Sarah Hoback, Anna Mei, and Ron Nissim",Formalization of QFT,free bosonic Euclidean quantum field theory,not_reported,selective,yes,yes,yes,no,no,yes,no,definition design; high-level decomposition; cross-model review; assumption tracking,"The project cross-validated conjectured helper lemmas and proof plans among Claude, Gemini, and GPT, tracked active assumptions in auxiliary documents, and reports correcting several project definitions, including its original rendition of the Osterwalder--Schrader axioms.",The definition errors were internal to the formalization project rather than defects in an external source. The original release carried three named assumptions that later work proved or avoided.,douglas_qft
treleaven_pile_shuffle,practitioner_account,treleaven_pile_shuffle,treleaven_pile_shuffle,2026,Kyle Treleaven,Post on AI-assisted Lean formalization of a pile-shuffle reduction,first reduction in an NP-hardness proof for pile-shuffle sorting,none,none,yes,no,no,no,no,yes,no,conceptual steering; iterative supervision; artifact integration,"Treleaven reports starting with no Lean experience, using mostly Claude Code with some Codex, and being unable to meaningfully read the generated proof code while relying on Lean to check it; he also reports substantial ongoing supervision of the agents.",The public LinkedIn activity item links both the paper and Lean repository. It describes proof readability and supervision but no separate semantic-review role.,treleaven_pile_shuffle
collins_workflows,human_study,collins_workflows,collins_workflows,2026-06-02,Katherine M. Collins et al.,Characterizing initial human-AI proof formalization workflows,controlled formalization tasks,mixed,varied,yes,no,no,no,no,no,no,survey; controlled user study; workflow observation,"A survey of 31 respondents and a controlled study with seven usable participants found heterogeneous preferences, broad desire for high-level human control, and six of seven study participants using more than one AI tool.",This row is a study rather than a practitioner report and is excluded from practitioner-report counts.,collins_workflows
yadav_gpu_verification,practitioner_account,rohan_yadav,yadav_gpu_verification,2026-06-26,Rohan Yadav,Experience Report: Leveraging LLMs for Formal Verification,formal semantics and race-detection proofs for high-performance GPU programs,some,selective,no,no,yes,no,no,unclear,no,definition review; theorem-statement review; mathematical supervision,"Yadav reports painstakingly examining every definition and theorem statement because modeling errors would not be caught merely by type checking, while largely ignoring proof implementations; he also reports Claude attempts to weaken a theorem by adding a hypothesis.","The mismatch coding concerns explicit attempted theorem weakening caught during supervision, not a claim that a bad statement survived into the final artifact.",yadav_gpu_verification
warren_tessera,practitioner_account,john_p_warren,warren_tessera,2026-07-27,John P. Warren,Tessera: a machine-checked false-alarm guarantee for GPU fleets,statistical false-discovery guarantees for GPU fleet health verdicts,not_reported,not_reported,no,no,yes,no,yes,yes,no,statement design; numerical validation; proof-driven audit; counterexample analysis,"Five AI-written formal statements passed the type checker and the author's numerical validation but were wrong; proof attempts exposed missing summability, measurability, independence, a bad quantifier domain, and a placeholder assumption encoded as True.",The failures and their replacements are retained in public repository history; the account distinguishes well-formed statements from proved statements.,warren_tessera
zaliva_bc_semantics,practitioner_account,leonid_zaliva,zaliva_bc_semantics,2026-06-12,Leonid Zaliva,Extracting a Formal Semantics with AI Agents,executable Lean semantics for the POSIX subset of bc,not_reported,selective,yes,yes,yes,no,no,yes,no,semantic architecture; boundary setting; human review; multi-agent review,"A different-agent review found parser and semantic defects; human review forced a redesign of the small-step semantics; and the first progress theorem proved a property of the wrong execution model despite a green, sorry-free build.",The author explicitly treats correctness as open pending further human review even after the final build and tests pass.,zaliva_bc_semantics
vergo_chebyshev,practitioner_account,eric_vergo,vergo_chebyshev,2025-11-15,Eric Vergo,AI-written Chebyshev / roots-of-unity Lean experiment,Chebyshev-polynomial and roots-of-unity arguments,learning,not_reported,unclear,no,unclear,no,no,unclear,no,prompting; build checking; public solicitation of mathematical and Lean review,Vergo reports more than 3000 lines of AI-written Lean that build and type-check while explicitly declining to claim that the repository captures the intended mathematics because he lacks the expertise to judge that correspondence.,"This is evidence about the limits of a compiling artifact for a novice reviewer, not a confirmed semantic mismatch.",vergo_chebyshev
bernier_class_field,practitioner_account,david_bernier,bernier_class_field,2026-02-08,David Bernier,Formalizing a conjecture in explicit Class Field Theory,explicit class-field-theory special cases related to cubic Frobenius behavior,not_reported,selective,no,no,unclear,no,no,yes,no,problem selection; artifact preservation; community solicitation for statement review,"Bernier reports roughly a dozen Aristotle proofs that compile without errors and contain no sorries, while specifically asking the Lean community to check whether the question itself had been misformalized.",The source raises misformalization as an unresolved review question rather than documenting a confirmed mismatch.,bernier_class_field
schmitt_extremal_descendants,practitioner_account,johannes_schmitt,schmitt_extremal_descendants,2025-12-16,Johannes Schmitt,Extremal descendant integrals on moduli spaces of curves: An inequality discovered and proved in collaboration with AI,extremal psi-class descendant integrals on moduli spaces of curves,none,selective,yes,no,unclear,no,no,yes,no,mathematical checking; AI workflow supervision; public solicitation of formalization review,"Schmitt began the formalization with no prior Lean experience; the Lean was AI-generated, the mathematical result received human checking, and he publicly solicited experienced review for possible formalization problems.",The account is coded as unclear rather than yes for semantic mismatch because it requests review without reporting a confirmed statement defect.,schmitt_extremal_descendants
schildep_polygon,practitioner_account,schildep,schildep_polygon,2026,schildep,Verified Polygon Intersection,verified polygon-intersection implementation,not_reported,selective,unclear,no,no,no,no,yes,no,specification review; trust-boundary design; build verification,The project makes a short human-reviewed specification the trust boundary: reviewers inspect 87 lines of specification while AI-written implementation and proof files are deliberately not reviewed line by line.,This is a software-verification account included to broaden the corpus beyond theorem formalization; no semantic defect is claimed.,schildep_polygon
davis_gradient_descent,practitioner_account,damek_davis,davis_gradient_descent,2026-02-08,Damek Davis,gd-lean: gradient-descent convergence formalization,convergence rate for gradient descent on smooth convex functions,some,selective,yes,no,no,no,no,yes,no,proof-blueprint generation; artifact preservation; reproducible handoff across models,"Davis preserves the exact GPT-5.2 proof-blueprint transcript, unedited handoff to Aristotle, raw Aristotle output, Codex cleanup diff, final artifact, and pinned Lean environment.",Included as provenance-positive evidence rather than as a semantic-failure case.,davis_gradient_descent
paik_optimization,practitioner_account,seunghoon_paik,paik_optimization,2026,Seunghoon Paik,Lean notes from formalizing optimization research,formalization of optimization research results,none,substantial,yes,no,no,no,no,unclear,no,learning Lean and Mathlib; reviewing generated code; mathematical supervision,"Paik describes LLMs generating most of the Lean while he invested substantial effort in understanding Lean and Mathlib, and explicitly asks how much of a generated proof a human needs to understand once Lean has checked it.",The account is retained for the novice-review question; it does not report a confirmed semantic failure.,paik_optimization
armstrong_kempe_degiorgi,practitioner_account,scott_armstrong,armstrong_kempe_degiorgi,2026-04-07,Scott Armstrong and Julia Kempe,Formalizing De Giorgi-Nash-Moser Theory in Lean,De Giorgi-Nash-Moser regularity theory,novice,not_reported,yes,no,no,no,no,yes,no,detailed proof blueprints; architecture; mathematical decision-making; agent supervision,"Armstrong and Kempe report roughly 56,000 lines of entirely LLM-written Lean produced without humans editing the Lean files, while they supplied detailed proof blueprints and architectural guidance.",This is a distinct project account from Armstrong and Kuusi's stochastic-homogenization account but shares the scott_armstrong practitioner-overlap cluster.,armstrong_kempe_degiorgi
aslyan_priority_methods,practitioner_account,ara_aslyan,aslyan_priority_methods,2026-07-26,Ara Aslyan,AI-assisted Friedberg-Muchnik and Sacks splitting formalization,Friedberg-Muchnik theorem and Sacks splitting theorem,not_reported,selective,unclear,no,unclear,no,no,yes,no,problem selection; symbol and architecture choices; modeling review; redirection at mathematical decision points,"Aslyan describes choosing the problem, symbols, architecture, and alternative approaches, challenging modeling decisions and redirecting the agent while the agent performs the Lean implementation; the completed developments are reported sorry-free and explicitly offered for independent review.","Modeling choices are described as actively challenged and redirected, but the posts do not isolate one accepted semantic mismatch; the field is therefore unclear.",aslyan_priority_methods
